NVC2.1_camp_name,year,loc_cow,targ_cow,NVC2.1_prim_meth,NVC2.1_total_part,NVC2.1_camp_structure,NVC2.1_sec_defect,NVC2.1_state_defect,NVC2.1_success,NVC2.1_camp_duration,NVC2.1_camp_goals,NVC2.1_progress
Anti-Banda,1993,553,553,1,30000,0,1,1,1,2,0,4
Anti-Calderon,2006,70,70,1,1100000,1,0,0,0,1,0,5
Anti-Ceaucescu Rebels,1989,360,360,0,450000,0,1,1,1,1,0,4
Anti-Chiluba,2001,551,551,1,3000,1,0,1,1,1,2,4
Anti-Diouf,2000,433,433,1,-99,1,0,1,1,1,0,4
Anti-Doe rebels,1989,450,450,0,3000,1,-99,0,0,2,0,1
Anti-Doe rebels,1990,450,450,0,3500,1,-99,0,1,2,0,4
Anti-Duvalier,1985,41,41,1,2000,0,0,0,0,2,0,0
Anti-Duvalier,1986,41,41,1,37500,0,1,1,1,2,0,4
Anti-Fujimori,2000,135,135,1,250000,1,1,1,1,1,0,4
Anti-Gayoom,2003,781,781,1,-99,0,0,1,0,6,0,2
Anti-Gayoom,2004,781,781,1,10000,0,0,0,0,6,0,1
Anti-Gayoom,2005,781,781,1,-99,0,0,0,0,6,0,3
Anti-Gayoom,2006,781,781,1,15000,0,0,1,0,6,0,3
Anti-Gayoom,2007,781,781,1,-99,0,0,1,0,6,0,3
Anti-Gayoom,2008,781,781,1,-99,0,0,1,1,6,0,4
Anti-Jaafar,1985,625,625,1,2000000,1,1,-99,1,1,0,4
Anti-Jimenez,1957,101,101,1,7200,0,1,1,0,2,0,0
Anti-Jimenez,1958,101,101,1,-99,0,1,1,1,2,0,4
Anti-Khan,1968,770,770,1,1000000,1,1,1,0,2,0,2
Anti-Khan,1969,770,770,1,2500000,1,1,1,0,2,0,5
Anti-Khmer Rouge,1978,811,811,0,20000,1,1,0,0,2,0,1
Anti-Khmer Rouge,1979,811,811,0,20000,1,1,0,1,2,0,4
Anti-Milosevic,1996,345,345,1,100000,0,0,1,0,5,0,2
Anti-Milosevic,1997,345,345,1,100000,0,0,1,0,5,0,3
Anti-Milosevic,1998,345,345,1,2000,0,0,0,0,5,0,3
Anti-Milosevic,1999,345,345,1,50000,0,0,0,0,5,0,0
Anti-Milosevic,2000,345,345,1,275000,1,1,1,1,5,0,4
Anti-Noriega,1987,95,95,1,750000,0,1,1,0,3,0,0
Anti-Noriega,1988,95,95,1,750000,0,1,1,0,3,0,0
Anti-Noriega,1989,95,95,1,750000,0,1,1,0,3,0,5
Anti-PRI,1986,70,70,1,35000,1,0,0,0,15,0,3
Anti-PRI,1987,70,70,1,192300,0,0,1,0,15,0,1
Anti-PRI,1988,70,70,1,200000,0,0,1,0,15,0,2
Anti-PRI,1989,70,70,1,267600,0,0,0,0,15,0,2
Anti-PRI,1990,70,70,1,281900,0,0,0,0,15,0,1
Anti-PRI,1991,70,70,1,285300,0,0,0,0,15,0,0
Anti-PRI,1992,70,70,1,310700,0,0,0,0,15,0,0
Anti-PRI,1993,70,70,1,338200,0,0,0,0,15,0,0
Anti-PRI,1994,70,70,1,344600,0,0,1,0,15,0,2
Anti-PRI,1995,70,70,1,344600,0,0,0,0,15,0,2
Anti-PRI,1996,70,70,1,344600,0,0,0,0,15,0,2
Anti-PRI,1997,70,70,1,336600,0,0,0,0,15,0,3
Anti-PRI,1998,70,70,1,336600,0,0,0,0,15,0,1
Anti-PRI,1999,70,70,1,335000,0,0,0,0,15,0,3
Anti-PRI,2000,70,70,1,335000,0,0,0,1,15,0,4
Anti-Pinochet Movement,1983,155,155,1,750000,0,0,0,0,7,0,0
Anti-Pinochet Movement,1984,155,155,1,200001,0,0,0,0,7,0,0
Anti-Pinochet Movement,1985,155,155,1,500000,0,0,1,0,7,0,2
Anti-Pinochet Movement,1986,155,155,1,135000,0,0,0,0,7,0,2
Anti-Pinochet Movement,1987,155,155,1,2001,0,1,1,0,7,0,2
Anti-Pinochet Movement,1988,155,155,1,100000,0,1,0,0,7,0,3
Anti-Pinochet Movement,1989,155,155,1,20001,0,-99,0,1,7,0,4
Anti-Shamun,1958,660,660,0,14500,0,1,1,0,1,0,5
Anti-Suharto,1996,850,850,1,-99,0,0,0,0,3,0,0
Anti-Suharto,1997,850,850,1,-99,0,1,0,0,3,0,0
Anti-Suharto,1998,850,850,1,500000,0,1,1,1,3,0,4
Anti-Thaksin,2005,800,800,1,40000,0,0,0,0,2,0,2
Anti-Thaksin,2006,800,800,1,100000,0,1,1,1,2,0,4
Anya Nya,1962,625,625,0,12000,0,1,0,0,11,3,1
Anya Nya,1963,625,625,0,12000,0,1,1,0,11,3,0
Anya Nya,1964,625,625,0,12000,1,1,1,0,11,3,0
Anya Nya,1965,625,625,0,12000,0,1,0,0,11,3,0
Anya Nya,1966,625,625,0,12000,0,0,0,0,11,3,0
Anya Nya,1967,625,625,0,12000,0,0,0,0,11,3,0
Anya Nya,1968,625,625,0,12000,0,0,0,0,11,3,0
Anya Nya,1969,625,625,0,12000,0,0,0,0,11,3,0
Anya Nya,1970,625,625,0,12000,1,0,0,0,11,3,0
Anya Nya,1971,625,625,0,12000,1,0,0,0,11,3,0
Anya Nya,1972,625,625,0,12000,1,0,0,0,11,3,5
Argentina coup plot,1987,160,160,1,400000,1,1,0,1,1,1,4
Argentina pro-democracy movement,1977,160,160,1,24000,0,0,0,0,7,0,0
Argentina pro-democracy movement,1978,160,160,1,-99,0,0,0,0,7,0,0
Argentina pro-democracy movement,1979,160,160,1,-99,0,0,0,0,7,0,0
Argentina pro-democracy movement,1980,160,160,1,-99,0,0,0,0,7,0,0
Argentina pro-democracy movement,1981,160,160,1,15000,0,0,0,0,7,0,2
Argentina pro-democracy movement,1982,160,160,1,9000000,0,0,0,0,7,0,3
Argentina pro-democracy movement,1983,160,160,1,9000000,0,-99,0,1,7,0,4
Armed Forces for National Liberation (FALN),1958,101,101,0,-99,0,0,0,0,6,0,0
Armed Forces for National Liberation (FALN),1959,101,101,0,-99,0,0,0,0,6,0,0
Armed Forces for National Liberation (FALN),1960,101,101,0,-99,0,0,1,0,6,0,0
Armed Forces for National Liberation (FALN),1961,101,101,0,-99,0,0,1,0,6,0,0
Armed Forces for National Liberation (FALN),1962,101,101,0,900,0,1,1,0,6,0,0
Armed Forces for National Liberation (FALN),1963,101,101,0,400,0,1,1,0,6,0,5
Armenians in Nagorno-Karabakh,1991,373,373,0,15000,1,0,0,0,4,3,0
Armenians in Nagorno-Karabakh,1992,373,373,0,15000,1,-99,0,0,4,3,0
Armenians in Nagorno-Karabakh,1993,373,373,0,10000,1,1,1,0,4,3,0
Armenians in Nagorno-Karabakh,1994,373,373,0,10000,1,1,0,0,4,3,5
Bangladesh Anti-Ershad,1987,771,771,1,20000,0,0,0,0,4,0,2
Bangladesh Anti-Ershad,1988,771,771,1,15000,0,0,1,0,4,0,0
Bangladesh Anti-Ershad,1989,771,771,1,-99,0,0,0,0,4,0,0
Bangladesh Anti-Ershad,1990,771,771,1,100000,0,1,1,1,4,0,4
Belarus Anti-Communist,1988,370,370,1,3000,0,0,0,0,4,0,0
Belarus Anti-Communist,1989,370,370,1,50000,1,0,1,0,4,0,2
Belarus Anti-Communist,1990,370,370,1,100000,1,0,1,0,4,0,3
Belarus Anti-Communist,1991,370,370,1,200000,1,0,1,1,4,0,4
Belarus Pro-Democracy Campaign,2006,370,370,1,35000,0,0,0,0,8,0,0
Belarus Pro-Democracy Campaign,2007,370,370,1,10000,0,0,0,0,8,0,0
Belarus Pro-Democracy Campaign,2008,370,370,1,2001,0,0,0,0,8,0,2
Belarus Pro-Democracy Campaign,2009,370,370,1,4000,0,0,0,0,8,0,0
Belarus Pro-Democracy Campaign,2010,370,370,1,40000,0,0,0,0,8,0,0
Belarus Pro-Democracy Campaign,2011,370,370,1,10000,0,0,0,0,8,0,0
Belarus Pro-Democracy Campaign,2012,370,370,1,4000,0,0,0,0,8,0,1
Belarus Pro-Democracy Campaign,2013,370,370,1,2000,0,0,0,0,8,0,0
Bangla Independence Campaign,1971,770,770,0,250000,1,1,0,1,1,3,4
Benin Anti-Communist,1989,434,434,1,33500,1,1,1,0,2,0,3
Benin Anti-Communist,1990,434,434,1,-99,0,1,1,1,2,0,4
Biafrans,1967,475,475,0,50500,1,1,0,0,4,3,0
Biafrans,1968,475,475,0,50500,1,0,0,0,4,3,0
Biafrans,1969,475,475,0,50500,1,0,0,0,4,3,0
Biafrans,1970,475,475,0,50500,1,0,0,0,4,3,5
Bolivian Anti-Junta,1976,145,145,1,50001,1,0,0,0,7,2,0
Bolivian Anti-Junta,1977,145,145,1,10000,0,0,0,0,7,0,2
Bolivian Anti-Junta,1978,145,145,1,10000,0,0,0,0,7,0,3
Bolivian Anti-Junta,1979,145,145,1,1000000,0,0,0,0,7,0,3
Bolivian Anti-Junta,1980,145,145,1,100000,0,0,0,0,7,0,3
Bolivian Anti-Junta,1981,145,145,1,1000,0,0,0,0,7,0,0
Bolivian Anti-Junta,1982,145,145,1,1000000,0,0,0,1,7,0,4
Bolivian Leftists,1952,145,145,0,23000,0,1,0,1,1,0,4
Bougainville Revolt,1988,910,910,1,200,1,0,0,0,11,1,0
Bougainville Revolt,1989,910,910,0,200,0,-99,0,0,11,3,0
Bougainville Revolt,1990,910,910,0,200,0,-99,0,0,11,3,1
Bougainville Revolt,1991,910,910,0,1000,0,-99,0,0,11,3,0
Bougainville Revolt,1992,910,910,0,1000,0,-99,0,0,11,3,0
Bougainville Revolt,1993,910,910,0,2000,0,-99,0,0,11,3,0
Bougainville Revolt,1994,910,910,0,2000,0,-99,0,0,11,3,0
Bougainville Revolt,1995,910,910,0,2000,0,-99,0,0,11,3,0
Bougainville Revolt,1996,910,910,0,3000,0,-99,0,0,11,3,0
Bougainville Revolt,1997,910,910,0,1000,0,-99,0,0,11,3,0
Bougainville Revolt,1998,910,910,0,2500,0,-99,0,0,11,3,5
Buganda Tribe,1966,500,500,0,-99,1,0,1,0,1,3,5
Bulgaria Anti-Communist,1989,355,355,1,50000,0,-99,0,0,2,0,3
Bulgaria Anti-Communist,1990,355,355,1,80000,0,0,0,1,2,0,4
CAR multiple factions,1996,482,482,0,800,1,1,0,0,2,0,2
CAR multiple factions,1997,482,482,0,200,1,1,0,0,2,0,5
CPN-M/UPF,1996,790,790,0,3450,1,-99,0,0,11,0,0
CPN-M/UPF,1997,790,790,0,3450,1,0,1,0,11,0,0
CPN-M/UPF,1998,790,790,0,10000,1,0,1,0,11,0,0
CPN-M/UPF,1999,790,790,0,10000,1,-99,0,0,11,0,0
CPN-M/UPF,2000,790,790,0,10000,1,0,1,0,11,0,1
CPN-M/UPF,2001,790,790,0,20000,1,0,0,0,11,0,0
CPN-M/UPF,2002,790,790,0,20000,1,-99,0,0,11,0,0
CPN-M/UPF,2003,790,790,0,20000,1,-99,0,0,11,0,0
CPN-M/UPF,2004,790,790,0,20000,1,-99,0,0,11,0,0
CPN-M/UPF,2005,790,790,0,25000,1,-99,0,0,11,0,0
CPN-M/UPF,2006,790,790,1,300000,1,-99,1,1,11,2,4
Cameroon anti-colonialist movement,1955,471,220,1,1500,1,0,0,0,5,5,0
Cameroon anti-colonialist movement,1956,471,220,0,7000,1,0,0,0,5,5,3
Cameroon anti-colonialist movement,1957,471,220,0,1500,1,0,0,0,5,5,3
Cameroon anti-colonialist movement,1958,471,220,0,3000,1,0,0,0,5,5,3
Cameroon anti-colonialist movement,1959,471,220,0,3000,1,0,0,1,5,5,4
Carnation Revolution,1973,235,235,1,1000,0,1,1,0,2,0,2
Carnation Revolution,1974,235,235,1,1000001,0,1,0,1,2,0,4
Cedar Revolution,2005,660,660,1,1500000,0,1,0,1,1,0,4
Chad rebels,1994,483,483,0,31150,1,1,0,0,5,0,1
Chad rebels,1995,483,483,0,31150,1,1,0,0,5,0,1
Chad rebels,1996,483,483,0,31150,1,1,0,0,5,0,1
Chad rebels,1997,483,483,0,31150,1,1,1,0,5,0,3
Chad rebels,1998,483,483,0,31150,1,1,0,0,5,0,5
Chechen separatists,1994,365,365,0,20000,1,-99,0,0,14,3,0
Chechen separatists,1995,365,365,0,20000,1,-99,0,0,14,3,0
Chechen separatists,1996,365,365,0,10000,1,-99,0,0,14,3,2
Chechen separatists,1997,365,365,0,10000,0,-99,0,0,14,3,0
Chechen separatists,1998,365,365,0,10000,0,-99,0,0,14,3,0
Chechen separatists,1999,365,365,0,25000,0,-99,0,0,14,3,0
Chechen separatists,2000,365,365,0,25000,0,-99,0,0,14,3,0
Chechen separatists,2001,365,365,0,25000,0,-99,0,0,14,3,0
Chechen separatists,2002,365,365,0,2000,0,-99,0,0,14,3,0
Chechen separatists,2003,365,365,0,2000,0,-99,0,0,14,3,0
Chechen separatists,2004,365,365,0,5000,0,-99,0,0,14,3,0
Chechen separatists,2005,365,365,0,3000,0,-99,0,0,14,3,0
Chechen separatists,2006,365,365,0,3000,0,-99,0,0,14,3,0
Chechen separatists,2007,365,365,0,3000,1,0,0,0,14,3,5
Conservative movement,1954,90,90,0,1000,1,1,0,1,1,0,4
Contras,1980,93,93,0,4000,1,1,1,0,11,0,0
Contras,1981,93,93,0,4000,1,1,1,0,11,0,0
Contras,1982,93,93,0,4000,1,0,0,0,11,0,2
Contras,1983,93,93,0,7000,1,0,0,0,11,0,0
Contras,1984,93,93,0,12000,1,0,0,0,11,0,1
Contras,1985,93,93,0,14000,1,0,0,0,11,0,0
Contras,1986,93,93,0,14500,1,0,0,0,11,0,0
Contras,1987,93,93,0,10000,1,0,0,0,11,0,0
Contras,1988,93,93,0,9000,1,0,0,0,11,0,0
Contras,1989,93,93,0,12000,1,0,0,0,11,0,2
Contras,1990,93,93,0,22373,1,0,0,1,11,0,4
Convention People's Party movement,1948,452,200,1,-99,1,0,0,0,4,5,2
Convention People's Party movement,1949,452,200,1,80001,1,0,0,0,4,5,0
Convention People's Party movement,1950,452,200,1,-99,1,0,0,0,4,5,0
Convention People's Party movement,1951,452,200,1,-99,1,0,0,0,4,5,5
Croatian nationalists,1970,345,345,1,10000,0,0,0,0,2,2,1
Croatian nationalists,1971,345,345,1,30000,0,0,0,0,2,2,5
Croats,1991,345,345,0,57500,1,1,0,0,1,3,5
Cuban Revolution,1956,40,40,0,3375,1,0,0,0,4,0,0
Cuban Revolution,1957,40,40,0,3375,1,0,0,0,4,0,0
Cuban Revolution,1958,40,40,0,3375,1,1,0,0,4,0,3
Cuban Revolution,1959,40,40,0,3375,1,0,0,1,4,2,4
Cultural Revolution Red Guards,1966,710,710,0,1000001,1,0,1,0,3,2,2
Cultural Revolution Red Guards,1967,710,710,0,22000000,1,0,1,0,3,2,2
Cultural Revolution Red Guards,1968,710,710,0,5000000,1,1,0,0,3,2,5
Czech Anti-Soviet Occupation,1967,315,365,1,1500,1,0,0,0,2,1,1
Czech Anti-Soviet Occupation,1968,315,365,1,3500000,0,0,1,0,2,5,5
Darul Islam,1949,850,850,0,8000,1,1,0,0,14,2,0
Darul Islam,1950,850,850,0,10000,1,1,0,0,14,2,0
Darul Islam,1951,850,850,0,2000,1,1,0,0,14,2,0
Darul Islam,1952,850,850,0,2000,1,1,0,0,14,2,0
Darul Islam,1953,850,850,0,4000,1,0,0,0,14,2,2
Darul Islam,1954,850,850,0,4000,1,0,0,0,14,2,0
Darul Islam,1955,850,850,0,4000,1,0,0,0,14,2,0
Darul Islam,1956,850,850,0,5000,1,0,0,0,14,2,0
Darul Islam,1957,850,850,0,13000,1,0,0,0,14,2,0
Darul Islam,1958,850,850,0,4000,1,0,0,0,14,2,0
Darul Islam,1959,850,850,0,4000,1,0,0,0,14,2,0
Darul Islam,1960,850,850,0,4000,1,0,0,0,14,2,0
Darul Islam,1961,850,850,0,2000,1,0,0,0,14,2,0
Darul Islam,1962,850,850,0,2666,1,0,0,0,14,2,5
Democracy Movement,1976,710,710,1,2000000,0,0,1,0,4,2,0
Democracy Movement,1977,710,710,1,-99,0,0,0,0,4,2,0
Democracy Movement,1978,710,710,1,10000,0,0,0,0,4,2,3
Democracy Movement,1979,710,710,1,10001,0,-99,0,0,4,0,5
Diretas ja,1983,140,140,1,15000,0,0,0,0,2,0,0
Diretas ja,1984,140,140,1,2000001,0,0,0,0,2,0,5
Dniestr,1992,359,359,0,8834,1,0,1,0,1,3,5
Dominican leftists,1965,42,42,0,5000,1,0,0,0,1,0,5
Druze resistance,1981,666,666,1,13000,0,0,0,0,2,4,0
Druze resistance,1982,666,666,1,20000,0,1,0,0,2,4,5
ERP/ Monteneros,1973,160,160,0,1500,0,0,0,0,5,0,0
ERP/ Monteneros,1974,160,160,0,1500,0,0,0,0,5,0,0
ERP/ Monteneros,1975,160,160,0,5000,0,0,0,0,5,0,0
ERP/ Monteneros,1976,160,160,0,5000,0,1,0,0,5,0,0
ERP/ Monteneros,1977,160,160,0,2000,0,0,0,0,5,0,5
Basque Campaign for Self-Determination,1968,230,230,0,1001,0,0,0,0,46,3,0
Basque Campaign for Self-Determination,1969,230,230,0,1001,1,-99,0,0,46,3,0
Basque Campaign for Self-Determination,1970,230,230,0,1001,0,0,0,0,46,3,0
Basque Campaign for Self-Determination,1971,230,230,0,-99,1,-99,0,0,46,3,0
Basque Campaign for Self-Determination,1972,230,230,0,-99,1,0,0,0,46,3,0
Basque Campaign for Self-Determination,1973,230,230,0,-99,1,0,0,0,46,3,0
Basque Campaign for Self-Determination,1974,230,230,0,-99,1,0,0,0,46,3,0
Basque Campaign for Self-Determination,1975,230,230,0,-99,1,0,0,0,46,3,0
Basque Campaign for Self-Determination,1976,230,230,0,250000,1,0,0,0,46,3,3
Basque Campaign for Self-Determination,1977,230,230,0,10001,1,0,0,0,46,3,3
Basque Campaign for Self-Determination,1978,230,230,0,-99,1,0,0,0,46,4,3
Basque Campaign for Self-Determination,1979,230,230,0,-99,1,0,0,0,46,4,3
Basque Campaign for Self-Determination,1980,230,230,0,-99,1,0,0,0,46,4,2
Basque Campaign for Self-Determination,1981,230,230,0,-99,1,0,0,0,46,4,0
Basque Campaign for Self-Determination,1982,230,230,0,-99,1,0,0,0,46,4,0
Basque Campaign for Self-Determination,1983,230,230,0,-99,1,0,0,0,46,4,0
Basque Campaign for Self-Determination,1984,230,230,0,-99,1,0,0,0,46,4,0
Basque Campaign for Self-Determination,1985,230,230,0,-99,1,0,0,0,46,4,0
Basque Campaign for Self-Determination,1986,230,230,0,-99,1,0,0,0,46,4,0
Basque Campaign for Self-Determination,1987,230,230,0,150,1,0,0,0,46,4,0
Basque Campaign for Self-Determination,1988,230,230,0,-99,1,0,0,0,46,4,0
Basque Campaign for Self-Determination,1989,230,230,0,-99,1,0,0,0,46,4,0
Basque Campaign for Self-Determination,1990,230,230,0,3001,1,0,0,0,46,4,0
Basque Campaign for Self-Determination,1991,230,230,0,3001,1,0,0,0,46,4,0
Basque Campaign for Self-Determination,1992,230,230,0,3001,1,0,0,0,46,4,0
Basque Campaign for Self-Determination,1993,230,230,0,3001,1,0,0,0,46,4,0
Basque Campaign for Self-Determination,1994,230,230,0,3001,1,0,0,0,46,4,0
Basque Campaign for Self-Determination,1995,230,230,0,3001,1,0,0,0,46,4,0
Basque Campaign for Self-Determination,1996,230,230,0,1501,1,0,0,0,46,4,0
Basque Campaign for Self-Determination,1997,230,230,0,20001,1,0,0,0,46,4,0
Basque Campaign for Self-Determination,1998,230,230,0,20001,1,0,0,0,46,4,1
Basque Campaign for Self-Determination,1999,230,230,0,30001,1,0,0,0,46,4,1
Basque Campaign for Self-Determination,2000,230,230,0,10001,1,0,0,0,46,4,0
Basque Campaign for Self-Determination,2001,230,230,0,1001,1,0,0,0,46,4,0
Basque Campaign for Self-Determination,2002,230,230,0,3001,1,0,0,0,46,4,0
Basque Campaign for Self-Determination,2003,230,230,0,3001,1,0,0,0,46,4,0
Basque Campaign for Self-Determination,2004,230,230,0,3001,1,0,0,0,46,4,0
Basque Campaign for Self-Determination,2005,230,230,0,20000,1,0,0,0,46,4,0
Basque Campaign for Self-Determination,2006,230,230,0,5500,0,0,0,0,46,3,0
Basque Campaign for Self-Determination,2007,230,230,0,5000,0,0,0,0,46,3,0
Basque Campaign for Self-Determination,2008,230,230,0,20001,-99,0,0,0,46,3,0
Basque Campaign for Self-Determination,2009,230,230,0,20001,-99,0,0,0,46,3,0
Basque Campaign for Self-Determination,2010,230,230,1,3001,-99,0,0,0,46,3,0
Basque Campaign for Self-Determination,2011,230,230,1,20001,-99,0,0,0,46,3,0
Basque Campaign for Self-Determination,2012,230,230,1,10001,-99,0,0,0,46,3,0
Basque Campaign for Self-Determination,2013,230,230,1,20001,-99,0,0,0,46,3,0
East Gemany Worker Uprising,1953,265,265,1,2000000,0,0,0,0,1,0,5
East Germany pro-dem movement,1989,265,265,1,1000000,0,0,0,1,1,0,4
Eritrean-led rebels,1974,530,530,0,-99,0,1,1,0,18,3,1
Eritrean-led rebels,1975,530,530,0,33000,0,1,0,0,18,3,0
Eritrean-led rebels,1976,530,530,0,34000,0,0,0,0,18,3,0
Eritrean-led rebels,1977,530,530,0,35000,0,0,0,0,18,3,1
Eritrean-led rebels,1978,530,530,0,37500,0,0,0,0,18,3,0
Eritrean-led rebels,1979,530,530,0,38000,0,0,0,0,18,3,0
Eritrean-led rebels,1980,530,530,0,36500,0,1,0,0,18,3,0
Eritrean-led rebels,1981,530,530,0,4000,0,1,0,0,18,3,0
Eritrean-led rebels,1982,530,530,0,2000,1,1,0,0,18,3,0
Eritrean-led rebels,1983,530,530,0,35000,1,1,0,0,18,3,0
Eritrean-led rebels,1984,530,530,0,3000,1,1,0,0,18,3,0
Eritrean-led rebels,1985,530,530,0,22500,1,1,0,0,18,3,0
Eritrean-led rebels,1986,530,530,0,21000,1,1,0,0,18,3,0
Eritrean-led rebels,1987,530,530,0,21500,1,1,0,0,18,3,0
Eritrean-led rebels,1988,530,530,0,38000,1,1,0,0,18,3,1
Eritrean-led rebels,1989,530,530,0,30000,1,1,0,0,18,3,1
Eritrean-led rebels,1990,530,530,0,50000,1,1,0,0,18,3,1
Eritrean-led rebels,1991,530,530,0,60000,1,1,0,1,18,3,4
Ethniki Organosis Kyprios Agoniston,1954,352,200,1,360000,0,0,0,0,6,5,1
Ethniki Organosis Kyprios Agoniston,1955,352,200,0,80,1,1,0,0,6,5,0
Ethniki Organosis Kyprios Agoniston,1956,352,200,0,1023,1,1,0,0,6,5,0
Ethniki Organosis Kyprios Agoniston,1957,352,200,0,1001,1,1,0,0,6,5,0
Ethniki Organosis Kyprios Agoniston,1958,352,200,0,1001,0,1,0,0,6,5,1
Ethniki Organosis Kyprios Agoniston,1959,352,200,0,1001,0,1,0,1,6,5,4
FLNC,1977,490,490,0,1500,-99,0,0,0,2,0,0
FLNC,1978,490,490,0,1500,-99,0,0,0,2,0,5
"FLOSY, NLF in Aden",1960,679,200,1,22000,1,0,0,0,8,5,0
"FLOSY, NLF in Aden",1961,679,200,1,22000,1,0,0,0,8,5,2
"FLOSY, NLF in Aden",1962,679,200,1,22000,1,0,0,0,8,5,0
"FLOSY, NLF in Aden",1963,679,200,0,23050,1,-99,-99,0,8,5,0
"FLOSY, NLF in Aden",1964,679,200,0,23050,1,-99,-99,0,8,5,2
"FLOSY, NLF in Aden",1965,679,200,0,1394,1,-99,-99,0,8,5,0
"FLOSY, NLF in Aden",1966,679,200,0,9703,1,-99,-99,0,8,5,0
"FLOSY, NLF in Aden",1967,679,200,0,27000,0,-99,-99,1,8,5,4
FSLN,1978,93,93,0,20001,1,0,0,0,2,0,3
FSLN,1979,93,93,0,20001,1,0,0,1,2,0,4
First Hutu Rebellion,1972,516,516,0,5000,0,0,0,0,2,0,0
First Hutu Rebellion,1973,516,516,0,1000,0,0,0,0,2,0,5
Former Rebel Leaders,1962,615,615,0,9000,1,-99,-99,0,2,0,0
Former Rebel Leaders,1963,615,615,0,400,1,1,0,0,2,0,5
Franco-Madagascan,1947,580,220,0,200001,0,0,0,0,2,5,0
Franco-Madagascan,1948,580,220,0,200001,1,0,0,0,2,5,5
Frolinat,1966,483,483,0,-99,1,0,0,0,25,0,0
Frolinat,1967,483,483,0,-99,1,0,0,0,25,0,0
Frolinat,1968,483,483,0,800,1,0,0,0,25,0,1
Frolinat,1969,483,483,0,3000,1,1,1,0,25,0,0
Frolinat,1970,483,483,0,-99,1,0,0,0,25,0,0
Frolinat,1971,483,483,0,-99,1,0,1,0,25,0,0
Frolinat,1972,483,483,0,-99,1,0,0,0,25,0,0
Frolinat,1973,483,483,0,-99,1,0,0,0,25,0,0
Frolinat,1974,483,483,0,500,1,0,0,0,25,0,0
Frolinat,1975,483,483,0,-99,1,1,0,0,25,0,0
Frolinat,1976,483,483,0,-99,1,0,0,0,25,0,0
Frolinat,1977,483,483,0,-99,1,1,0,0,25,0,0
Frolinat,1978,483,483,0,5000,1,0,0,0,25,0,3
Frolinat,1979,483,483,0,-99,1,0,1,0,25,0,3
